1: 6310.744629, 6310.744629 avg, 0.000000 rate, 12.645555 seconds, 64 images
2: 6330.437012, 6312.713867 avg, 0.000000 rate, 7.594840 seconds, 128 images
3: 6273.569336, 6308.799316 avg, 0.000000 rate, 7.628003 seconds, 192 images
4: 6300.075684, 6307.926758 avg, 0.000000 rate, 7.599013 seconds, 256 images
5: 6299.432129, 6307.077148 avg, 0.000000 rate, 7.593299 seconds, 320 images
6: 6312.452148, 6307.614746 avg, 0.000000 rate, 7.597190 seconds, 384 images
7: 6289.244141, 6305.777832 avg, 0.000000 rate, 7.596417 seconds, 448 images
8: 6329.661133, 6308.166016 avg, 0.000000 rate, 7.597185 seconds, 512 images
9: 6296.852539, 6307.034668 avg, 0.000000 rate, 7.588679 seconds, 576 images
10: 6300.349609, 6306.366211 avg, 0.000000 rate, 7.606580 seconds, 640 images
11: 9033.229492, 6579.052734 avg, 0.000000 rate, 10.273180 seconds, 704 images
12: 9001.244141, 6821.271973 avg, 0.000000 rate, 10.195338 seconds, 768 images
13: 9028.835938, 7042.028320 avg, 0.000000 rate, 10.240516 seconds, 832 images
14: 8935.467773, 7231.372070 avg, 0.000000 rate, 10.159419 seconds, 896 images
15: 8892.137695, 7397.448730 avg, 0.000000 rate, 10.182770 seconds, 960 images
16: 8840.886719, 7541.792480 avg, 0.000000 rate, 10.170900 seconds, 1024 images
17: 8772.995117, 7664.912598 avg, 0.000000 rate, 10.171832 seconds, 1088 images
18: 8662.383789, 7764.659668 avg, 0.000000 rate, 10.212781 seconds, 1152 images
19: 8518.165039, 7840.010254 avg, 0.000000 rate, 10.193322 seconds, 1216 images
20: 8313.796875, 7887.388672 avg, 0.000000 rate, 10.203400 seconds, 1280 images
21: 5641.775391, 7662.827148 avg, 0.000000 rate, 7.578634 seconds, 1344 images
22: 5426.832520, 7439.227539 avg, 0.000000 rate, 7.600882 seconds, 1408 images
23: 5202.000000, 7215.504883 avg, 0.000000 rate, 7.591512 seconds, 1472 images
24: 4949.116699, 6988.866211 avg, 0.000000 rate, 7.586769 seconds, 1536 images
25: 4644.560059, 6754.435547 avg, 0.000000 rate, 7.590923 seconds, 1600 images
26: 4312.511230, 6510.243164 avg, 0.000000 rate, 7.638081 seconds, 1664 images
27: 3941.002686, 6253.319336 avg, 0.000000 rate, 7.597637 seconds, 1728 images
28: 3543.300537, 5982.317383 avg, 0.000000 rate, 7.604498 seconds, 1792 images
29: 3134.396729, 5697.525391 avg, 0.000000 rate, 7.597160 seconds, 1856 images
30: 2722.050537, 5399.978027 avg, 0.000000 rate, 7.597289 seconds, 1920 images
31: 1742.565552, 5034.236816 avg, 0.000000 rate, 5.769629 seconds, 1984 images
32: 1462.721313, 4677.085449 avg, 0.000000 rate, 5.846595 seconds, 2048 images
33: 1197.161377, 4329.093262 avg, 0.000000 rate, 5.823237 seconds, 2112 images
34: 988.918152, 3995.075684 avg, 0.000000 rate, 5.785268 seconds, 2176 images
35: 770.418762, 3672.610107 avg, 0.000000 rate, 5.785990 seconds, 2240 images
36: 624.914978, 3367.840576 avg, 0.000000 rate, 5.818924 seconds, 2304 images
37: 491.699585, 3080.226562 avg, 0.000000 rate, 5.811486 seconds, 2368 images
38: 406.187225, 2812.822510 avg, 0.000000 rate, 5.826452 seconds, 2432 images
39: 311.678436, 2562.708008 avg, 0.000000 rate, 5.800708 seconds, 2496 images
40: 264.475342, 2332.884766 avg, 0.000000 rate, 5.821603 seconds, 2560 images
41: 160.958893, 2115.692139 avg, 0.000000 rate, 4.154654 seconds, 2624 images
42: 142.387619, 1918.361694 avg, 0.000000 rate, 4.233054 seconds, 2688 images
43: 126.800369, 1739.205566 avg, 0.000000 rate, 4.215203 seconds, 2752 images
44: 115.085350, 1576.793579 avg, 0.000000 rate, 4.217191 seconds, 2816 images
45: 106.068642, 1429.721069 avg, 0.000000 rate, 4.241690 seconds, 2880 images
46: 98.170250, 1296.566040 avg, 0.000000 rate, 4.258231 seconds, 2944 images
47: 91.542244, 1176.063721 avg, 0.000000 rate, 4.248540 seconds, 3008 images
48: 87.279594, 1067.185303 avg, 0.000001 rate, 4.239912 seconds, 3072 images
49: 81.204102, 968.587158 avg, 0.000001 rate, 4.233323 seconds, 3136 images
50: 75.576027, 879.286072 avg, 0.000001 rate, 4.269005 seconds, 3200 images
51: 136.738861, 805.031372 avg, 0.000001 rate, 8.248689 seconds, 3264 images
52: 126.740494, 737.202271 avg, 0.000001 rate, 8.299181 seconds, 3328 images
